question_id,description
14,二叉树可以用于排序。其原理很简单：对于一个排序二叉树添加新节点时，先与根节点比较，若小则交给左子树继续处理，否则交给右子树。当遇到空子树时，则把该节点放入那个位置。比如，10 8 5 7 12 4 的输入顺序，应该建成二叉树如下图所示，其中.表示空白。...|-1210-|...|-8-|.......|...|-7.......|-5-|...........|-4本题目要求：根据已知的数字，建立排序二叉树，并在标准输出中横向打印该二叉树。
15,回形取数就是沿矩阵的边取数，若当前方向上无数可取或已经取过，则左转90度。一开始位于矩阵左上角，方向向下。
16,观察数字：12321，123321 都有一个共同的特征，无论从左到右读还是从右向左读，都是相同的。这样的数字叫做：回文数字。本题要求你找到一些5位或6位的十进制数字。满足如下要求：该数字的各个数位之和等于输入的整数。
17,输入一个正整数n，输出n!的值。其中n!=123…n。算法描述n!可能很大，而计算机能表示的整数范围有限，需要使用高精度计算的方法。使用一个数组A来表示一个大整数a，A[0]表示a的个位，A[1]表示a的十位，依次类推。将a乘以一个整数k变为将数组A的每一个元素都乘以k，请注意处理相应的进位。首先将a设为1，然后乘2，乘3，当乘到n时，即得到了n!的值。
18,平面上有两个矩形，它们的边平行于直角坐标系的X轴或Y轴。对于每个矩形，我们给出它的一对相对顶点的坐标，请你编程算出两个矩形的交的面积。
19,如下图所示，3 x 3 的格子中填写了一些整数。我们沿着图中的星号线剪开，得到两个部分，每个部分的数字和都是60。本题的要求就是请你编程判定：对给定的m x n 的格子中的整数，是否可以分割为两个部分，使得这两个区域的数字和相等。如果存在多种解答，请输出包含左上角格子的那个区域包含的格子的最小数目。如果无法分割，则输出 0。
20,给定一个N阶矩阵A，输出A的M次幂（M是非负整数）例如：A =1 23 4A的2次幂7 1015 22
21,给定一个以秒为单位的时间t，要求用 “::”的格式来表示这个时间。表示时间，表示分钟， 而表示秒，它们都是整数且没有前导的“0”。例如，若t=0，则应输出是“0:0:0”；若t=3661，则输出“1:1:1”。
22,小明先把硬币摆成了一个 n 行 m 列的矩阵。随后，小明对每一个硬币分别进行一次 Q 操作。对第x行第y列的硬币进行 Q 操作的定义：将所有第 ix 行，第 jy 列的硬币进行翻转。其中i和j为任意使操作可行的正整数，行号和列号都是从1开始。当小明对所有硬币都进行了一次 Q 操作后，他发现了一个奇迹——所有硬币均为正面朝上。小明想知道最开始有多少枚硬币是反面朝上的。于是，他向他的好朋友小M寻求帮助。聪明的小M告诉小明，只需要对所有硬币再进行一次Q操作，即可恢复到最开始的状态。然而小明很懒，不愿意照做。于是小明希望你给出他更好的方法。帮他计算出答案。
23,Tom教授正在给研究生讲授一门关于基因的课程，有一件事情让他颇为头疼：一条染色体上有成千上万个碱基对，它们从0开始编号，到几百万，几千万，甚至上亿。比如说，在对学生讲解第1234567009号位置上的碱基时，光看着数字是很难准确的念出来的。所以，他迫切地需要一个系统，然后当他输入12 3456 7009时，会给出相应的念法：十二亿三千四百五十六万七千零九用汉语拼音表示为shi er yi san qian si bai wu shi liu wan qi qian ling jiu这样他只需要照着念就可以了。你的任务是帮他设计这样一个系统：给定一个阿拉伯数字串，你帮他按照中文读写的规范转为汉语拼音字串，相邻的两个音节用一个空格符格开。注意必须严格按照规范，比如说“10010”读作“yi wan ling yi shi”而不是“yi wan ling shi”，“100000”读作“shi wan”而不是“yi shi wan”，“2000”读作“er qian”而不是“liang qian”。
24,观察这个数列：1 3 0 2 -1 1 -2 ...这个数列中后一项总是比前一项增加2或者减少3。栋栋对这种数列很好奇，他想知道长度为 n 和为 s 而且后一项总是比前一项增加a或者减少b的整数数列可能有多少种呢？
25,回文串，是一种特殊的字符串，它从左往右读和从右往左读是一样的。小龙龙认为回文串才是完美的。现在给你一个串，它不一定是回文的，请你计算最少的交换次数使得该串变成一个完美的回文串。交换的定义是：交换两个相邻的字符例如mamad第一次交换 ad : mamda第二次交换 md : madma第三次交换 ma : madam (回文！完美！)
26,有n（2≤n≤20）块芯片，有好有坏，已知好芯片比坏芯片多。每个芯片都能用来测试其他芯片。用好芯片测试其他芯片时，能正确给出被测试芯片是好还是坏。而用坏芯片测试其他芯片时，会随机给出好或是坏的测试结果（即此结果与被测试芯片实际的好坏无关）。给出所有芯片的测试结果，问哪些芯片是好芯片。
27,给定两个仅由大写字母或小写字母组成的字符串(长度介于1到10之间)，它们之间的关系是以下4中情况之一：1：两个字符串长度不等。比如 Beijing 和 Hebei2：两个字符串不仅长度相等，而且相应位置上的字符完全一致(区分大小写)，比如 Beijing 和 Beijing3：两个字符串长度相等，相应位置上的字符仅在不区分大小写的前提下才能达到完全一致（也就是说，它并不满足情况2）。比如 beijing 和 BEIjing4：两个字符串长度相等，但是即使是不区分大小写也不能使这两个字符串一致。比如 Beijing 和 Nanjing编程判断输入的两个字符串之间的关系属于这四类中的哪一类，给出所属的类的编号。
28,兰顿蚂蚁，是于1986年，由克里斯·兰顿提出来的，属于细胞自动机的一种。平面上的正方形格子被填上黑色或白色。在其中一格正方形内有一只“蚂蚁”。蚂蚁的头部朝向为：上下左右其中一方。蚂蚁的移动规则十分简单：若蚂蚁在黑格，右转90度，将该格改为白格，并向前移一格；若蚂蚁在白格，左转90度，将该格改为黑格，并向前移一格。规则虽然简单，蚂蚁的行为却十分复杂。刚刚开始时留下的路线都会有接近对称，像是会重复，但不论起始状态如何，蚂蚁经过漫长的混乱活动后，会开辟出一条规则的“高速公路”。蚂蚁的路线是很难事先预测的。  　　你的任务是根据初始状态，用计算机模拟兰顿蚂蚁在第n步行走后所处的位置。
29,"栋栋每天骑自行车回家需要经过一条狭长的林荫道。道路由于年久失修，变得非常不平整。虽然栋栋每次都很颠簸，但他仍把骑车经过林荫道当成一种乐趣。由于颠簸，栋栋骑车回家的路径是一条上下起伏的曲线，栋栋想知道，他回家的这条曲线的长度究竟是多长呢？更准确的，栋栋想知道从林荫道的起点到林荫道的终点，他的车前轮的轴（圆心）经过的路径的长度。栋栋对路面进行了测量。他把道路简化成一条条长短不等的直线段，这些直线段首尾相连，且位于同一平面内。并在该平面内建立了一个直角坐标系，把所有线段的端点坐标都计算好。假设栋栋的自行车在行进的过程中前轮一直是贴着路面前进的。上图给出了一个简单的路面的例子，其中蓝色实线为路面，红色虚线为车轮轴经过的路径。在这个例子中，栋栋的前轮轴从A点出发，水平走到B点，然后绕着 地面的F点到C点（绕出一个圆弧），再沿直线下坡到D点，最后水平走到E点，在这个图中地面的坐标依次为：(0, 0), (2, 0), (4, -1),(6, -1)，前轮半径为1.50，前轮轴前进的距离依次为：AB=2.0000；弧长BC=0.6955；CD=1.8820；DE=1.6459。总长度为6.2233。下图给出了一个较为复杂的路面的例子，在这个例子中，车轮在第一个下坡还没下完时（D点）就开始上坡了，之后在坡的顶点要从E绕一个较大的圆弧到F点。这个图中前轮的半径为1，每一段的长度依次为：AB=3.0000；弧长BC=0.9828；CD=1.1913；DE=2.6848；弧长EF=2.6224； FG=2.4415；GH=2.2792。总长度为15.2021。现在给出了车轮的半径和路面的描述，请求出车轮轴轨迹的总长度。"
30,"小明这些天一直在思考这样一个奇怪而有趣的问题：在1~N的某个全排列中有多少个连号区间呢？这里所说的连号区间的定义是：如果区间[L, R] 里的所有元素（即此排列的第L个到第R个元素）递增排序后能得到一个长度为R-L+1的“连续”数列，则称这个区间连号区间。当N很小的时候，小明可以很快地算出答案，但是当N变大的时候，问题就不是那么简单了，现在小明需要你的帮助。"
31,栋栋居住在一个繁华的C市中，然而，这个城市的道路大都年久失修。市长准备重新修一些路以方便市民，于是找到了栋栋，希望栋栋能帮助他。C市中有n个比较重要的地点，市长希望这些地点重点被考虑。现在可以修一些道路来连接其中的一些地点，每条道路可以连接其中的两个地点。另外由于C市有一条河从中穿过，也可以在其中的一些地点建设码头，所有建了码头的地点可以通过河道连接。栋栋拿到了允许建设的道路的信息，包括每条可以建设的道路的花费，以及哪些地点可以建设码头和建设码头的花费。市长希望栋栋给出一个方案，使得任意两个地点能只通过新修的路或者河道互达，同时花费尽量小。
32,长100厘米的细长直杆子上有n只蚂蚁。它们的头有的朝左，有的朝右。每只蚂蚁都只能沿着杆子向前爬，速度是1厘米/秒。当两只蚂蚁碰面时，它们会同时掉头往相反的方向爬行。这些蚂蚁中，有1只蚂蚁感冒了。并且在和其它蚂蚁碰面时，会把感冒传染给碰到的蚂蚁。请你计算，当所有蚂蚁都爬离杆子时，有多少只蚂蚁患上了感冒。
33,某涉密单位下发了某种票据，并要在年终全部收回。每张票据有唯一的ID号。全年所有票据的ID号是连续的，但ID的开始数码是随机选定的。因为工作人员疏忽，在录入ID号的时候发生了一处错误，造成了某个ID断号，另外一个ID重号。你的任务是通过编程，找出断号的ID和重号的ID。假设断号不可能发生在最大和最小号。
34,小明为某机构设计了一个十字型的徽标（并非红十字会啊），如下所示：对方同时也需要在电脑dos窗口中以字符的形式输出该标志，并能任意控制层数。
35,很久以前，T王国空前繁荣。为了更好地管理国家，王国修建了大量的快速路，用于连接首都和王国内的各大城市。为节省经费，T国的大臣们经过思考，制定了一套优秀的修建方案，使得任何一个大城市都能从首都直接或者通过其他大城市间接到达。同时，如果不重复经过大城市，从首都到达每个大城市的方案都是唯一的。J是T国重要大臣，他巡查于各大城市之间，体察民情。所以，从一个城市马不停蹄地到另一个城市成了J最常做的事情。他有一个钱袋，用于存放往来城市间的路费。聪明的J发现，如果不在某个城市停下来修整，在连续行进过程中，他所花的路费与他已走过的距离有关，在走第x千米到第x+1千米这一千米中（x是整数），他花费的路费是x+10这么多。也就是说走1千米花费11，走2千米要花费23。J大臣想知道：他从某一个城市出发，中间不休息，到达另一个城市，所有可能花费的路费中最多是多少呢？
37,X 国王有一个地宫宝库。是 n x m 个格子的矩阵。每个格子放一件宝贝。每个宝贝贴着价值标签。地宫的入口在左上角，出口在右下角。小明被带到地宫的入口，国王要求他只能向右或向下行走。走过某个格子时，如果那个格子中的宝贝价值比小明手中任意宝贝价值都大，小明就可以拿起它（当然，也可以不拿）。当小明走到出口时，如果他手中的宝贝恰好是k件，则这些宝贝就可以送给小明。请你帮小明算一算，在给定的局面下，他有多少种不同的行动方案能获得这k件宝贝。
38,"小明正在玩一个“翻硬币”的游戏。桌上放着排成一排的若干硬币。我们用 * 表示正面，用 o 表示反面（是小写字母，不是零）。比如，可能情形是：**oo***oooo如果同时翻转左边的两个硬币，则变为：oooo***oooo现在小明的问题是：如果已知了初始状态和要达到的目标状态，每次只能同时翻转相邻的两个硬币,那么对特定的局面，最少要翻动多少次呢？我们约定：把翻动相邻的两个硬币叫做一步操作，那么要求："
39,"斐波那契数列大家都非常熟悉。它的定义是：f(x) = 1 .... (x=1,2)f(x) = f(x-1) + f(x-2) .... (x>2)对于给定的整数 n 和 m，我们希望求出：f(1) + f(2) + ... + f(n) 的值。但这个值可能非常大，所以我们把它对 f(m) 取模。公式如下但这个数字依然很大，所以需要再对p 求模。"
40,有n个小朋友围坐成一圈。老师给每个小朋友随机发偶数个糖果，然后进行下面的游戏：每个小朋友都把自己的糖果分一半给左手边的孩子。一轮分糖后，拥有奇数颗糖的孩子由老师补给1个糖果，从而变成偶数。反复进行这个游戏，直到所有小朋友的糖果数都相同为止。你的任务是预测在已知的初始糖果情形下，老师一共需要补发多少个糖果。
41,古时丧葬活动中经常请高僧做法事。仪式结束后，有时会有“高僧斗法”的趣味节目，以舒缓压抑的气氛。节目大略步骤为：先用粮食（一般是稻米）在地上“画”出若干级台阶（表示N级浮屠）。又有若干小和尚随机地“站”在某个台阶上。最高一级台阶必须站人，其它任意。(如图1所示)两位参加游戏的法师分别指挥某个小和尚向上走任意多级的台阶，但会被站在高级台阶上的小和尚阻挡，不能越过。两个小和尚也不能站在同一台阶，也不能向低级台阶移动。两法师轮流发出指令，最后所有小和尚必然会都挤在高段台阶，再也不能向上移动。轮到哪个法师指挥时无法继续移动，则游戏结束，该法师认输。对于已知的台阶数和小和尚的分布位置，请你计算先发指令的法师该如何决策才能保证胜出。
42,X国的一段古城墙的顶端可以看成 2*N个格子组成的矩形（如下图所示），现需要把这些格子刷上保护漆。你可以从任意一个格子刷起，刷完一格，可以移动到和它相邻的格子（对角相邻也算数），但不能移动到较远的格子（因为油漆未干不能踩！）比如：a d b c e f 就是合格的刷漆顺序。c e f d a b 是另一种合适的方案。当已知 N 时，求总的方案数。当N较大时，结果会迅速增大，请把结果对 1000000007 (十亿零七) 取模。
43,"输入n, m, k，输出下面公式的值。其中C_n^m是组合数，表示在n个人的集合中选出m个人组成一个集合的方案数。组合数的计算公式如下。"
44,C国由n个小岛组成，为了方便小岛之间联络，C国在小岛间建立了m座大桥，每座大桥连接两座小岛。两个小岛间可能存在多座桥连接。然而，由于海水冲刷，有一些大桥面临着不能使用的危险。如果两个小岛间的所有大桥都不能使用，则这两座小岛就不能直接到达了。然而，只要这两座小岛的居民能通过其他的桥或者其他的小岛互相到达，他们就会安然无事。但是，如果前一天两个小岛之间还有方法可以到达，后一天却不能到达了，居民们就会一起抗议。现在C国的国王已经知道了每座桥能使用的天数，超过这个天数就不能使用了。现在他想知道居民们会有多少天进行抗议。
45,"小张是软件项目经理，他带领3个开发组。工期紧，今天都在加班呢。为鼓舞士气，小张打算给每个组发一袋核桃（据传言能补脑）。他的要求是：1. 各组的核桃数量必须相同2. 各组内必须能平分核桃（当然是不能打碎的）3. 尽量提供满足1,2条件的最小数量（节约闹革命嘛）"
46,小明开了一家糖果店。他别出心裁：把水果糖包成4颗一包和7颗一包的两种。糖果不能拆包卖。小朋友来买糖的时候，他就用这两种包装来组合。当然有些糖果数目是无法组合出来的，比如要买 10 颗糖。你可以用计算机测试一下，在这种包装情况下，最大不能买到的数量是17。大于17的任何数字都可以用4和7组合出来。本题的要求就是在已知两个包装的数量时，求最大不能组合出的数字。
47,"栋栋正在和同学们玩一个数字游戏。游戏的规则是这样的：栋栋和同学们一共n个人围坐在一圈。栋栋首先说出数字1。接下来，坐在栋栋左手边的同学要说下一个数字2。再下面的一个同学要从上一个同学说的数字往下数两个数说出来，也就是说4。下一个同学要往下数三个数，说7。依次类推。为了使数字不至于太大，栋栋和同学们约定，当在心中数到 k-1 时，下一个数字从0开始数。例如，当k=13时，栋栋和同学们报出的前几个数依次为：1, 2, 4, 7, 11, 3, 9, 3, 11, 7。游戏进行了一会儿，栋栋想知道，到目前为止，他所有说出的数字的总和是多少。"
48,X 国的一个网络使用若干条线路连接若干个节点。节点间的通信是双向的。某重要数据包，为了安全起见，必须恰好被转发两次到达目的地。该包可能在任意一个节点产生，我们需要知道该网络中一共有多少种不同的转发路径。源地址和目标地址可以相同，但中间节点必须不同。如下图所示的网络。1 -> 2 -> 3 -> 1 是允许的1 -> 2 -> 1 -> 2 或者 1 -> 2 -> 3 -> 2 都是非法的。
49,"抗日战争时期，冀中平原的地道战曾发挥重要作用。地道的多个站点间有通道连接，形成了庞大的网络。但也有隐患，当敌人发现了某个站点后，其它站点间可能因此会失去联系。我们来定义一个危险系数DF(x,y)：对于两个站点x和y (x != y), 如果能找到一个站点z，当z被敌人破坏后，x和y不连通，那么我们称z为关于x,y的关键点。相应的，对于任意一对站点x和y，危险系数DF(x,y)就表示为这两点之间的关键点个数。本题的任务是：已知网络结构，求两站点之间的危险系数。"
50,n 个小朋友站成一排。现在要把他们按身高从低到高的顺序排列，但是每次只能交换位置相邻的两个小朋友。每个小朋友都有一个不高兴的程度。开始的时候，所有小朋友的不高兴程度都是0。如果某个小朋友第一次被要求交换，则他的不高兴程度增加1，如果第二次要求他交换，则他的不高兴程度增加2（即不高兴程度为3），依次类推。当要求某个小朋友第k次交换时，他的不高兴程度增加k。请问，要让所有小朋友按从低到高排队，他们的不高兴程度之和最小是多少。如果有两个小朋友身高一样，则他们谁站在谁前面是没有关系的。
51,"幸运数是波兰数学家乌拉姆命名的。它采用与生成素数类似的“筛法”生成。首先从1开始写出自然数1,2,3,4,5,6,....1 就是第一个幸运数。我们从2这个数开始。把所有序号能被2整除的项删除，变为：1 _ 3 _ 5 _ 7 _ 9 ....把它们缩紧，重新记序，为：1 3 5 7 9 .... 。这时，3为第2个幸运数，然后把所有能被3整除的序号位置的数删去。注意，是序号位置，不是那个数本身能否被3整除!! 删除的应该是5，11, 17, ...此时7为第3个幸运数，然后再删去序号位置能被7整除的(19,39,...)最后剩下的序列类似：1, 3, 7, 9, 13, 15, 21, 25, 31, 33, 37, 43, 49, 51, 63, 67, 69, 73, 75, 79, ..."
52,C村住着n户村民，由于交通闭塞，C村的村民只能通过信件与外界交流。为了方便村民们发信，C村打算在C村建设k个邮局，这样每户村民可以去离自己家最近的邮局发信。现在给出了m个备选的邮局，请从中选出k个来，使得村民到自己家最近的邮局的距离和最小。其中两点之间的距离定义为两点之间的直线距离。
53,"闲暇时，福尔摩斯和华生玩一个游戏：在N张卡片上写有N个整数。两人轮流拿走一张卡片。要求下一个人拿的数字一定是前一个人拿的数字的约数或倍数。例如，某次福尔摩斯拿走的卡片上写着数字“6”，则接下来华生可以拿的数字包括：1，2，3, 6，12，18，24 ....当轮到某一方拿卡片时，没有满足要求的卡片可选，则该方为输方。请你利用计算机的优势计算一下，在已知所有卡片上的数字和可选哪些数字的条件下，怎样选择才能保证必胜！当选多个数字都可以必胜时，输出其中最小的数字。如果无论如何都会输，则输出-1。"
54,给定一个n*m的矩阵A，求A中的一个非空子矩阵，使这个子矩阵中的元素和最大。其中，A的子矩阵指在A中行和列均连续的一块。
58,给定一个字符串列表，统计字符串列表中每种字符出现次数。
59,"有x,y,z三个数，将三个数从小到大print出来。"
76,输入四个数，实现降序排序
83,中秋节到了，小华想购买学校发售的月饼，而且因为某些原因，他想要尽可能多花点钱，你能帮助他想出最好的购买策略吗？注意：假如学校发售的有 3 种月饼，其库存量分别为 18、15、10个，总售价分别为 75、72、45 元。如果小华最多只想买20个，那么花钱最多的策略应该是买全部 15 个第 2 种月饼、以及 5 个第 3 种月饼，花费 72 + 45/2 = 94.5（元）。
84,给定一个长度为n的数列，将这个数列按从大到小的顺序排列。1<=n<=1000
85,编写一个程序，输入一个字符串（不超过100），然后把这个字符串内的每一个字符进行大小写变换，即将大写字母变成小写，小写字母变成大写，然后把这个新的字符串输出。
86,"华师大一年一度的新春游园会上有一个非常有趣的游戏，名为找球游戏。游戏规则为：在现有的一堆球中，每个球上都有一个整数编号i(0<=i<=100000000),编号可重复，还有一个空箱子。现在有三种动作：一种是""ADD""，表示向空箱子里放m(0<m<=100)个球，另一种是“DELETE”，表示从箱子里拿走m个球（拿走的球必然是箱子里有的），还有一种是""QUERY”，表示说出M(0<M<=100)个随机整数ki(0<=ki<=100000100),分别判断编号为ki 的球是否在这个空箱子中（存在为""YES"",否则为""NO""），先答出者为胜。小华很想玩玩这个游戏，但他又很懒。所以他希望你能帮助他取得胜利。"
87,从键盘输入一个不超过8位的正的十六进制数字符串，将它转换为正的十进制数后输出。注：十六进制数中的10~15分别用大写的英文字母A、B、C、D、E、F表示。
88,小华想要开发一个传统的迷宫游戏，但是他不知道自己设计的地图是否符合要求，请你帮助他来判断。
89,世界上宗教何其多，小华对华师大的学生总共有多少种宗教信仰很感兴趣，想请你帮忙解决一个问题。假设华师大有n个学生，但是你不能直接问学生的信仰，不然他会感到很不舒服。有另外一个方法是问m对同学，是否信仰同一宗教。根据这些数据，相信聪明的你是能够计算学校最多有多少种宗教信仰的。
90,小华在业余时间很喜欢玩连连看，现在他很想开发一个自动判别两个格子能不能消去的程序，但又毫无头绪，所以希望你能帮助他。“连连看”的游戏规则：在一个棋盘中，放了很多的棋子。如果某两个相同的棋子，可以通过一条线连起来（这条线不能经过其它棋子，且不能从棋盘外围通过），而且线的转折次数不超过两次，那么这两个棋子就可以在棋盘上消去。玩家鼠标先后点击两块棋子，试图将他们消去，然后游戏的后台判断这两个格子能不能消去。现在你的任务就是帮助小华写出这个后台程序。
91,求指定区间的和
94,求指定区间的奇数个数
97,万圣节前夕，孩子们会提着南瓜灯，穿着各式各样的稀奇古怪的服装，挨家挨户地去索要糖果，不停地说：“trick or treat”（意思是：“给不给，不给就捣蛋。”）要是你不肯给糖果的话，孩子们就会很生气，用各种方法去惩罚你，例如：把垃圾倒在你家里等等的方法去惩罚你，直到你肯给他们糖果为止。那么问题来了，丁丁有n元钱，商店里每个糖果需要3毛钱，问丁丁最多能买多少糖果，还剩几毛钱。
98,"有n个城市（编号为1-n），现在给你m条边，每条边用u,v表示，代表城市u和城市v之间有公路直接连接。现在有q个询问，每个询问有a,b两个数，问你a城市和b城市是否直接连通。"
99,丁丁喜欢捡石子，有一天他突然有了一个有趣的想法，有n个石子，每次他只能捡一颗石子或者两颗石子，他想知道捡完这n颗石子共有多少方案。
100,"有N行M列的地图，左上角坐标为（1,1），右下角坐标为（n,m），每个格子可以是空地或墙，空地可以走，问能否从（1,1）到达（n,m）"
101,"一个大于1的正整数，如果除了1和它本身以外，不能被其他正整数整除，就叫素数,给一个数n，判断它是不是素数。"
102,输入n个数，将它们从小到大排序输出
103,"输入n个排好序（从小到大）的数，输入q，代表q次询问，每次输入数m，问m是否在序列中，是输出数m所在下标,否则输出-1"
104,"已知二叉树的先序遍历的字符串如abd##e#f##cg###,#代表空节点，求二叉树的中序和后序遍历"
105,已知先序遍历序列和中序遍历序列，求二叉树的后序遍历和层序遍历序列
107,给定一个字符串，找到它的第一个不重复的字符，并返回它的索引。如果不存在，则返回 -1。注意事项：您可以假定该字符串只包含小写字母。
109,"给你一段文字，请统计其中各个单词的数目。文字中可能包含以下字符：[',','.','!','?',':','(',')']请统计文字中的单词出现次数，并按照先后顺序输出。注意：单词区分大小写，既What 和what算2个单词"
116,小华手上有一个长度为n的数列，里面的数字都是乱序的，现在他想要将它们都按照从大到小排序，你能帮助他吗？
117,从键盘输入两个字符串(包含大小写)，将两字符串合并，要求合并后的字符串按照ASCII码顺序排列，并且重复字符只出现一次（大小写不算重复），最后输出合并后的结果。
118,"小华有N个石子，每个石子的重量为Qi，现在他要按顺序将它们装入K个筐中，求一种方案，使得最重的筐的重量达到最轻。例如当N=6, K=3,Q[1..6]=(3,8,4,11,3,4)时，最轻重量为15，装法为(3,8,4)(11)(3,4)"
119,"给定一个n*m的矩阵，矩阵上的每个格子上都有一个权值。现在有q次询问，每次询问给出一个子矩阵的左上角$(x_1,y_1)$和右下角$(x_2,y_2)$，求该子矩阵的权值和。"
120,小明现在会求$n!$以及$n!$末尾连续0的个数了，但是他现在想考考你另一个问题：给定一个整数k，求最小的n，使得$n!$末尾连续0的个数$\geq$k。小明怕你不记得相关公式了，所以他告诉你$n !$末尾连续0的个数的公式为：$\lfloor\frac{n}{5}\rfloor+\lfloor\frac{n}{5 ^2}\rfloor+\lfloor\frac{n}{5^3}\rfloor+...+0$
